frame,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,conf_matricula,mx1,my1,mx2,my2,texto_matricula,tiempo_yolo_s,tiempo_ocr_s
19,car,0.77,1,1308,313,1372,367,,,,,,,0.0702,0
19,car,0.28,2,1227,316,1261,341,,,,,,,0.0702,0
19,car,0.14,4,1269,312,1313,343,,,,,,,0.0702,0
20,car,0.78,1,1308,314,1370,367,,,,,,,0.0571,0
20,car,0.31,2,1227,316,1261,341,,,,,,,0.0571,0
20,car,0.16,4,1270,313,1311,343,,,,,,,0.0571,0
21,car,0.75,1,1308,313,1369,368,,,,,,,0.0486,0
21,car,0.34,2,1227,317,1261,341,,,,,,,0.0486,0
21,car,0.17,4,1270,314,1312,344,,,,,,,0.0486,0
22,car,0.73,1,1308,313,1368,368,,,,,,,0.061,0
22,car,0.36,2,1226,317,1261,341,,,,,,,0.061,0
22,car,0.18,4,1269,314,1311,344,,,,,,,0.061,0
23,car,0.74,1,1308,313,1366,367,,,,,,,0.0586,0
23,car,0.39,2,1225,316,1261,341,,,,,,,0.0586,0
23,car,0.19,4,1269,314,1308,343,,,,,,,0.0586,0
24,car,0.72,1,1308,313,1366,366,,,,,,,0.0546,0
24,car,0.41,2,1225,318,1261,341,,,,,,,0.0546,0
24,car,0.19,4,1269,314,1303,343,,,,,,,0.0546,0
25,car,0.7,1,1308,312,1366,366,,,,,,,0.0649,0
25,car,0.46,2,1225,318,1261,342,,,,,,,0.0649,0
25,car,0.16,4,1269,313,1307,343,,,,,,,0.0649,0
26,car,0.71,1,1308,312,1365,366,,,,,,,0.0591,0
26,car,0.44,2,1225,318,1261,342,,,,,,,0.0591,0
26,car,0.18,4,1268,312,1309,343,,,,,,,0.0591,0
27,car,0.69,1,1308,311,1365,365,,,,,,,0.0668,0
27,car,0.45,2,1224,318,1261,342,,,,,,,0.0668,0
27,car,0.19,4,1268,312,1308,343,,,,,,,0.0668,0
28,car,0.67,1,1308,310,1364,366,,,,,,,0.0606,0
28,car,0.43,2,1224,318,1261,342,,,,,,,0.0606,0
28,car,0.17,4,1266,312,1307,343,,,,,,,0.0606,0
29,car,0.65,1,1307,309,1364,365,,,,,,,0.0547,0
29,car,0.43,2,1224,317,1261,342,,,,,,,0.0547,0
29,car,0.15,4,1266,311,1307,343,,,,,,,0.0547,0
30,car,0.63,1,1307,308,1362,365,,,,,,,0.0529,0
30,car,0.4,2,1224,317,1261,342,,,,,,,0.0529,0
30,car,0.16,4,1264,311,1305,343,,,,,,,0.0529,0
31,car,0.62,1,1306,307,1359,364,,,,,,,0.0556,0
31,car,0.36,2,1225,317,1260,342,,,,,,,0.0556,0
31,car,0.14,4,1263,310,1304,343,,,,,,,0.0556,0
32,car,0.64,1,1305,308,1357,363,,,,,,,0.0532,0
32,car,0.29,2,1226,318,1260,341,,,,,,,0.0532,0
32,car,0.14,4,1262,310,1303,343,,,,,,,0.0532,0
33,car,0.64,1,1304,308,1356,363,,,,,,,0.056,0
33,car,0.26,2,1226,317,1260,341,,,,,,,0.056,0
33,car,0.12,4,1262,310,1302,343,,,,,,,0.056,0
34,car,0.63,1,1303,308,1355,363,,,,,,,0.0501,0
34,car,0.28,2,1227,317,1260,341,,,,,,,0.0501,0
34,car,0.13,4,1262,310,1299,343,,,,,,,0.0501,0
35,car,0.62,1,1302,308,1354,363,,,,,,,0.0469,0
35,car,0.24,2,1227,318,1258,342,,,,,,,0.0469,0
35,car,0.12,4,1262,310,1295,343,,,,,,,0.0469,0
36,car,0.6,1,1302,309,1352,362,,,,,,,0.0677,0
36,car,0.33,2,1226,318,1258,342,,,,,,,0.0677,0
36,car,0.14,4,1260,310,1294,343,,,,,,,0.0677,0
37,car,0.6,1,1302,310,1351,362,,,,,,,0.0557,0
37,car,0.25,2,1226,319,1257,342,,,,,,,0.0557,0
